incident_no|incident_code|date_reported|status_code|occurred|location_code|address|stolen_value|lost_value|narrative
7001864|ALCOHOL - MINOR IN POSSESSION|5/4/2007 0:32|Cleared by Arrest|Date: 05/04/2007 00:32|Pound Hall||0.00|0.00|Student cited for Urinating in Public, Fake ID and Minor in Possession by Consumption.  TOT Detox. (.197)
7001867|LITTERING|5/4/2007 1:11|Cleared by Arrest|Date: 05/04/2007 01:11|Andersen Hall||0.00|0.00|Student cited for Littering on the west side of Andersen Hall.
7001868|ALCOHOL - DWI|5/4/2007 1:15|Cleared by Arrest|between: 05/04/2007 01:15 and 05/04/2007 01:15||N 17TH ST & VINE ST|0.00|0.00|Vehicle stopped.  Driver was intoxicated.  Tested .196 BAC.  TOT Detox.
7001869|MEDICAL EMERGENCY|5/4/2007 1:33|Inactive|Date: 05/04/2007 01:33|Kappa Alpha Theta||0.00|0.00|Medical responded to a female with alcohol poisoning.  Transported to LGH West.
7001872|VANDALISM - OTHER|5/4/2007 5:27|Inactive|between: 04/28/2007 05:54 and 05/04/2007 05:26||1830 Vine Street|0.00|100.00|Belated vandalism to vehicle in Sandoz Parking Lot.  Driver's side rear opera window broken out.
7001873|LARCENY - STOLEN BIKE|5/4/2007 5:34|Cleared by Arrest|between: 05/04/2007 05:34 and 05/04/2007 05:34|Smith Hall|1120 North 14th St|150.00|0.00|Party cited for Theft and Poss of Burglary Tool in HSS Courtyard.  Cited and Released.
7001875|LARCENY - FROM MOTOR VEHICLE|5/4/2007 6:48|Inactive|between: 05/01/2007 18:00 and 05/04/2007 06:30||1220 N. 14th Street|78.85|200.00|Stereo stolen from a vehicle.
7001876|VANDALISM - OTHER|5/4/2007 6:50|Inactive|between: 04/30/2007 22:00 and 05/04/2007 05:50|Sandoz Hall|820 North 17th St|0.00|100.00|A side view mirror was broken off of a vehicle.
7001881|VANDALISM - OTHER|5/4/2007 9:38|Inactive|between: 05/04/2007 04:00 and 05/04/2007 08:45|Alpha Tau Omega|1433 R St.|0.00|50.00|White paint thrown onto the ATO house.
7001883|LARCENY - FROM MOTOR VEHICLE|5/4/2007 11:01|Inactive|between: 05/02/2007 10:00 and 05/03/2007 22:00||540 N. 17th Street|0.00|0.00|Attempted larceny from auto in which no items were stolen.
7001885|LARCENY - STOLEN BIKE|5/4/2007 12:37|Inactive|between: 05/03/2007 12:00 and 05/03/2007 15:00|Avery Hall|1144 T St|155.00|0.00|Bicycle stolen near Avery Hall.
7001888|ACCIDENTS - P.D. NOT REPORTABLE|5/4/2007 13:26|Inactive|Date: 05/04/2007 13:26|Westbrook Music Building|1104 R St|0.00|1300.00|Non-injury, non-reportable 2 vehicle accident in the parking lot of Westbrook.
7001899|ALCOHOL - MINOR IN POSSESSION|5/4/2007 23:39|Cleared by Arrest|Date: 05/04/2007 23:39|Phi Gamma Delta|1425 R St.|0.00|0.00|UNL student contacted and cited for MIPC (.118 BAC). Cited and Released.
7001904|ALCOHOL - DRUNK|5/5/2007 1:57|Inactive|Date: 05/05/2007 01:57||N 17TH ST & R ST|0.00|0.00|Intoxicated female contacted and found to be wanted on a warrant.  Lodged on warrant.
7001905|SS - CHECK WELFARE OF PERSON|5/5/2007 5:02|Cleared by Exception|Date: 05/05/2007 05:02||860 North 17th St|0.00|0.00|Report of a male urinating on a door, possibly intoxicated.  Contact was made and party released to sober party.  (.101 BAC)
7001910|VANDALISM - BY GRAFFITI|5/5/2007 12:06|Inactive|Date: 05/05/2007 12:06|Union-City|1400 R St.|0.00|50.00|Spray paint to the sign on the south side of the City Union.
7001912|ACCIDENTS - P.D. H&R NOT REPORTABLE|5/5/2007 13:05|Inactive|between: 05/05/2007 08:20 and 05/05/2007 13:00||1601 Court St.|0.00|700.00|Non-reportable hit and run accident.
7001914|NARCOTICS - POSSESSION|5/5/2007 15:59|Cleared by Arrest|between: 05/05/2007 15:50 and 05/05/2007 16:05|Business Services Complex|1100 N. 17th Street|0.00|0.00|Traffic stop yielded 2 felony arrests a DWI and other Misdemeanor arrests.
7001919|UNL POLICY VIOLATION -OTHER|5/6/2007 4:45|Cleared by Exception|Date: 05/06/2007 03:28|Sigma Nu|625 North 16th St.|0.00|0.00|Greek Violation.  Member failed to let CSO's in the house.  Female in house after 0200 hours.
7001923|VANDALISM - OTHER|5/6/2007 5:27|Inactive|Date: 05/06/2007 03:38|Stadium Drive Parking Garage|625 Stadium Dr|0.00|0.00|Vandalism by Employee Entrance to Parking Services.
7001925|VANDALISM - BY GRAFFITI|5/6/2007 10:56|Inactive|between: 05/04/2007 17:00 and 05/06/2007 10:56|Alexander Building|1410 Q St|0.00|25.00|D3M written in spray paint on an exterior wall.
7001928|LOST OR STOLEN ITEM|5/6/2007 12:32|Inactive|between: 05/06/2007 09:00 and 05/06/2007 10:30||N 14TH ST & VINE ST|77.00|0.00|Lost wallet during the Lincoln Marathon
7001935|FALSE INFORMATION - GIVEN TO OFC.|5/7/2007 4:12|Cleared by Arrest|Date: 05/07/2007 04:12||N 27TH ST & T ST|0.00|0.00|A non student was arrested for making a false statement to an ofc after he was contacted  an att. Burglary had just occuurred. pty found to be wanted on a porole violation.
7001937|VANDALISM - OTHER|5/7/2007 8:15|Inactive|between: 05/04/2007 13:45 and 05/07/2007 05:45|Facilities Management Complex|1901 Y St|0.00|200.00|Two small rocks were thrown at the windshield of a Facilities van.
7001940|VANDALISM - OTHER|5/7/2007 10:35|Inactive|:|College of Business Admin.|512 North 12th St|0.00|50.00|Graffiti vandalism to the northeast door of CBA.
7001941|LARCENY - FROM BUILDING|5/7/2007 10:53|Inactive|between: 05/04/2007 14:00 and 05/04/2007 17:00|Burr Hall|1655 North 35th St|1720.00|0.00|Stolen book bag containing a laptop as well as other items from the Burr Hall hallway during move-out.
7001938|ACCIDENTS - P.D. NOT REPORTABLE|5/7/2007 11:10|Inactive|Date: 05/07/2007 11:10||331 N. 17 Street|0.00|300.00|Non injury accident.
7001953|ACCIDENTS - P.D. NOT REPORTABLE|5/7/2007 23:07|Cleared by Exception|between: 05/07/2007 23:07 and 05/07/2007 23:07|Smith Hall|1120 North 14th St|0.00|1000.00|A Student was backing out of a stall and struck a parked veh. No injuries (private property)
7001960|ALCOHOL - DRUNK|5/8/2007 13:39|Inactive|Date: 05/08/2007 13:39||N 14TH ST & VINE ST|0.00|0.00|Transient taken to Detox.
7001969|OUTSIDE CRIME - REPORTS OUTSIDE JURISDICTION|5/9/2007 11:45|Inactive|Date: 04/01/2007 14:00|||115.00|0.00|Theft of a wallet and N card while a student was studying abroad.
7001970|ACCIDENTS - P.D. H&R NOT REPORTABLE|5/9/2007 12:20|Inactive|between: 05/06/2007 10:00 and 05/06/2007 11:00|14th and W st.|14th and W St.|0.00|500.00|Non-reportable hit and run accident.
7001971|LARCENY - OTHER OR FROM OPEN AREA|5/9/2007 13:21|Cleared by Exception|between: 07/20/2006 00:00 and 04/26/2007 00:00|Facilities Management Complex|1901 Y St|16704.06|0.00|Investigation into the possible theft of property delivered by mistake.
7001972|ACCIDENTS - P.D. H&R NOT REPORTABLE|5/9/2007 13:54|Inactive|:||19th and Y Street NE corner|0.00|150.00|A UNL parking sign was hit by a unknown vehicle at 19th and Y Street.
7001973|LARCENY - STOLEN BIKE|5/9/2007 14:59|Cleared by Arrest|between: 05/04/2007 15:00 and 05/09/2007 14:45|Smith Hall|1120 North 14th St|620.00|0.00|Bike taken from rack west side of Smith Hall.
7001980|ALCOHOL - DWI|5/10/2007 1:13|Cleared by Arrest|between: 05/10/2007 01:13 and 05/10/2007 01:13||N 17TH ST & VINE ST|0.00|0.00|Non Student stopped for speeding found to be DWI,  .175 BAC.
7001985|VANDALISM - OTHER|5/10/2007 7:27|Cleared by Arrest|Date: 05/10/2007 07:27|Selleck Quad|600 North 15th St|0.00|300.00|Student cited for Vandalism, Disturbing the Peace and MIP-C.
7001987|VANDALISM - OTHER|5/10/2007 7:36|Inactive|:|Memorial Stadium|740 Stadium Dr.|0.00|350.00|Window broken out of a car.
7001989|VANDALISM - OTHER|5/10/2007 8:01|Inactive|:|Selleck Quad|600 North 15th St|0.00|100.00|Vandalism to a glass window in the women's restroom.
7001991|VANDALISM - OTHER|5/10/2007 11:32|Inactive|:|Ross McCollum Hall|1875 North 42nd St|0.00|25.00|Damaged door at the Law College.
7001992|VANDALISM - OTHER|5/10/2007 12:41|Cleared by Exception|:|Memorial Stadium|740 Stadium Dr.|0.00|100.00|An Athletics Department cargo van with a window broken out.
7001998|FALSE INFORMATION - GIVEN TO OFC.|5/10/2007 17:56|Cleared by Arrest|Date: 05/10/2007 17:56||N 16TH ST & S ST|0.00|0.00|Party cited for false information to a police officer, DUS, speeding, no seatbelt and no operators lic. on person.
7001999|NARCOTICS - POSSESSION|5/10/2007 18:58|Cleared by Arrest|Date: 05/10/2007 18:58||N 16TH ST & S ST|0.00|0.00|Party lodged for Driving under suspension and a warrant, also cited for possession of drug paraphernalia, speeding and no proof of insurance.
7002001|NARCOTICS - POSSESSION|5/10/2007 19:05|Cleared by Arrest|Date: 05/10/2007 19:05||N 16TH ST & S ST|0.00|0.00|Party arrested for Drug paraphernalia, speeding and no seat belt.
7002003|ALCOHOL - DWI|5/11/2007 1:13|Cleared by Arrest|Date: 05/11/2007 01:13||P ST & N 16TH ST|0.00|0.00|Driver failed to comply.  Lodged for DWI (.143 BAC). Cited for Fleeing to Avoid, Failure to Comply, Possession of Illegal Fireworks, Reckless Driving.  Passengers cited and released for Littering.
7002007|WEAPONS - CONCEALED|5/11/2007 12:18|Cleared by Arrest|Date: 05/11/2007 12:18||37-38/Huntington|0.00|0.00|Vehicle stopped for speeding.  Driver found to have multiple "bench warrants", DUS and having concealed weapons in his veh.  Driver lodged on above listed offenses.
7002010|FALSE INFORMATION - GIVEN TO OFC.|5/11/2007 13:06|Cleared by Arrest|Date: 05/11/2007 13:06|Love Library South||0.00|0.00|Man with a warrant caught viewing pornography. Lodged for warrant and making false statement.
70002016|MEDICAL EMERGENCY|5/11/2007 18:51|Inactive|between: 05/11/2007 18:51 and 05/11/2007 18:51||2244 Vine Street|0.00|0.00|Cut finger. Transported to Hospital.
7002019|MISC - OTHER|5/11/2007 23:05|Cleared by Arrest|Date: 05/11/2007 23:05||N 27TH ST & P ST|0.00|0.00|Traffic stop.  Passenger cited and released for Open Container in Vehicle.
7002022|LITTERING|5/12/2007 1:06|Cleared by Arrest|Date: 05/12/2007 01:06|Andersen Hall||0.00|0.00|Non-student cited and released for Littering (Urinating in Public).
7002023|UNL POLICY VIOLATION - WEAPONS|5/12/2007 1:53|Cleared by Exception|between: 05/12/2007 01:53 and 05/12/2007 01:53|Memorial Stadium|740 Stadium Dr.|0.00|0.00|Pellet gun found in Memorial Stadium.
7002025|MEDICAL EMERGENCY|5/12/2007 10:03|Inactive|Date: 05/12/2007 10:03|Ed Weir Track|1200 Vine St.|0.00|0.00|Person struck with a discus and transported to Bryan/LGH West.
7002028|NARCOTICS - POSSESSION|5/12/2007 14:58|Cleared by Arrest|between: 05/12/2007 14:58 and 05/12/2007 15:10||N 22ND ST & VINE ST|0.00|0.00|Non student  stopped on traffic violation found to have a partial marijuana cigarette in his ashtray.
7002031|MISC - OTHER|5/12/2007 17:25|Cleared by Arrest|Date: 05/12/2007 17:25|Haymarket Park||0.00|0.00|Non student cited for urinating in public at Haymarket Park.
7002034|MISC - OTHER|5/12/2007 20:14|Cleared by Arrest|between: 05/12/2007 20:14 and 05/12/2007 20:14|Union-City|1400 R St.|0.00|20.00|Non student cited for criminal mischief after starting a wire on fire at the gas meter on the east side of the city union.
7002035|VANDALISM - OTHER|5/12/2007 22:12|Inactive|between: 05/10/2007 17:00 and 05/11/2007 08:00|Memorial Stadium|740 Stadium Dr. (North Stad Lot)|0.00|100.00|UNL Van with the passenger wing window shattered.
7002037|TRAFFIC - OTHER|5/12/2007 22:48|Cleared by Arrest|Date: 05/12/2007 22:48||N 17TH ST & X ST|0.00|0.00|Student stopped on traffic violation found to have open container.
7002041|FALSE INFORMATION - GIVEN TO OFC.|5/12/2007 23:45|Inactive|Date: 05/12/2007 23:45||N 17TH ST & X ST|0.00|0.00|Pty stopped on traffic violation gave false info. Investigation continuing.
7002039|ALCOHOL - DRUNK|5/13/2007 1:11|Inactive|Date: 05/13/2007 01:11|Andersen Hall||0.00|0.00|Non student passed out in the bushes on the west side of Andersen Hall, taken to Detox .128 BAC.
7002043|VANDALISM - BY GRAFFITI|5/13/2007 8:57|Inactive|:|Morrill Hall|1335 U St|0.00|200.00|Exterior doors and garbage dumpster damaged by graffiti.
7002048|LARCENY - STOLEN BIKE|5/13/2007 14:22|Inactive|:||733 N 17th|265.00|0.00|Bike taken from the south bike racks of the Courtyards.
7002049|MEDICAL EMERGENCY|5/13/2007 15:46|Inactive|Date: 05/13/2007 15:46|Haymarket Park||0.00|0.00|Medical at Haymarket Park, party refused transportation.
7002050|VANDALISM - BY GRAFFITI|5/13/2007 15:54|Inactive|:|Westbrook Music Building|1104 R St|0.00|50.00|Graffiti on a door at Westbrook.
7005278|DISTURBANCE - OTHER|5/14/2007 11:52|Cleared by Exception|between: 03/06/2007 00:00 and 04/24/2007 00:00|Andrews Hall|625 North 14th St|0.00|0.00|Disturbance, person sending unwanted e-mails and leaving voice mails to different persons at the UNL English department.
7002059|LARCENY - FROM BUILDING|5/14/2007 12:04|Inactive|between: 05/14/2007 07:00 and 05/14/2007 11:30|Selleck Quad 4000|600 North 15th St.|1000.00|0.00|Stolen laptop from a student unsecured room.
7002060|PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC|5/14/2007 12:28|Inactive|between: 05/14/2007 12:15 and 05/14/2007 12:15|Haymarket Park|403 Line Dr.|0.00|250.00|A vehicle sustained damage from another vehicle's door opening.
7002063|LOST OR STOLEN ITEM|5/14/2007 18:13|Inactive|between: 05/13/2007 13:00 and 05/14/2007 16:30|Lied Center|301 North 12th St|50.00|0.00|Lost or stolen phone Lied Center.
7002073|PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC|5/15/2007 19:52|Inactive|between: 05/15/2007 17:30 and 05/15/2007 17:52|Beadle Center|1901 Vine St|0.00|10.00|Trashcan fire by the Beadle Center.
7005272|DISTURBANCE - OTHER|5/15/2007 20:00|Inactive|Date: 05/06/2007 20:00||808 "P" St|0.00|0.00|Initial disturbance report.
7002082|ASSAULT - NON DOMESTIC|5/16/2007 14:49|Cleared by Arrest|between: 05/16/2007 14:49 and 05/16/2007 14:49|University Lutheran Chapel|1510 Q St.|0.00|0.00|Party arrested for third degree assault which occurred near the Lutheran Chapel.
7002088|MEDICAL EMERGENCY|5/16/2007 17:22|Cleared by Exception|between: 05/16/2007 17:22 and 05/16/2007 17:22|NETV|1800 North 33rd St.|0.00|0.00|Medical at NETV building party transported to Bryan East.
7002085|LARCENY - STOLEN BIKE|5/16/2007 18:12|Inactive|between: 05/16/2007 07:15 and 05/16/2007 16:00|The Village|1055 North 16 St.|75.00|0.00|Bike taken from rack located between HSS and The Village.
7002092|ALCOHOL - DRUNK|5/17/2007 0:54|Inactive|Date: 05/17/2007 00:54|Richards Hall||0.00|0.00|Intoxicated male contacted and transported to Detox where he was admitted.  (.204 BAC)
7002094|ALCOHOL - DWI|5/17/2007 1:28|Cleared by Arrest|Date: 05/17/2007 01:28||N 17TH ST & VINE ST|0.00|0.00|Traffic Stop.  Driver cited for DWI(.176 BAC)/Poss. of Marijuana &lt;1 oz (1.6 g) and Speeding.  Had four local warrants for his arrest.  Lodged.
7002099|TRESPASSING|5/17/2007 14:37|Cleared by Arrest|Date: 05/17/2007 14:37||14 and Salt Creek Roadway|0.00|0.00|Person observed and then cited for jumping the fence at 14th and Salt Creek Roadway.
7002102|LARCENY - FROM BUILDING|5/17/2007 15:43|Inactive|between: 05/17/2007 14:40 and 05/17/2007 15:00|Bessey Hall|1215 U St|3250.00|0.00|UNL employee left computer unattended and it was stolen.
7002103|LOST OR STOLEN ITEM|5/17/2007 16:01|Inactive|between: 05/16/2007 21:00 and 05/16/2007 23:00|Campus Recreation Center|841 North 14th St|365.00|0.00|Victim reports possibly loosing his cell phone at UNL Campus Rec.
7002109|VANDALISM - OTHER|5/18/2007 7:40|Inactive|:|||0.00|150.00|Door window shattered in NEB Hall.
7002110|LARCENY - FROM BUILDING|5/18/2007 8:01|Inactive|between: 05/17/2007 12:00 and 05/17/2007 22:00|Union-City|1400 R St.|220.00|0.00|Purse stolen from individuals office at the City Union.  Prior to report some of the property from the purse was found in the trash at Burnett Hall by a custodian and turned in to UNLPD.
7002118|BURGLARY|5/18/2007 19:09|Inactive|:|Nebraska Hall|900 North 16th St|9000.00|0.00|Three overhead projectors stolen.
7002119|NARCOTICS - POSSESSION|5/19/2007 0:06|Cleared by Arrest|Date: 05/19/2007 00:06||N 14TH ST & MILITARY RD|0.00|0.00|Traffic Stop.  Driver and passenger cited for Poss. Marijuana &lt; 1oz./Paraphernalia/Open Container.  Passenger also cited for MIP.
7002121|ALCOHOL - MINOR IN POSSESSION|5/19/2007 3:07|Cleared by Arrest|Date: 05/19/2007 03:07|Phi Kappa Psi|1548 S Street|0.00|0.00|Seven UNL Students cited and released for MIP.
7002116|ACCIDENTS - P.D. H&R REPORTABLE|5/19/2007 13:42|Inactive|Date: 05/18/2007 12:00|Nebraska Hall|900 North 16th St|0.00|1500.00|An unknown vehicle had damaged a post indicator valve located on the sidewalk on the east side of Nebraska Hall
7002131|ALCOHOL - DRUNK|5/20/2007 0:57|Cleared by Exception|Date: 05/20/2007 00:57||200 Centennial Mall North|0.00|0.00|Intoxicated male contacted and transported to Detox. (.228 BAC)
7002132|LARCENY - STOLEN BIKE|5/20/2007 20:40|Inactive|between: 05/10/2007 10:30 and 05/10/2007 08:30|Smith Hall|1120 North 14th St|480.00|0.00|Gary Fisher stolen from the west side of Smith Hall.
7002140|FRAUD - FAIL TO RETURN RENTED/BORROWED ITEM|5/21/2007 9:56|Inactive|Date: 04/27/2007 13:18|501 Building|501 Stadium Dr|2550.00|0.00|Rented lap top computer not returned.
7002143|LARCENY - STOLEN BIKE|5/21/2007 13:16|Inactive|between: 05/09/2007 13:28 and 05/14/2007 13:28|The Courtyards|733 North  17th  St.|100.00|0.00|Bike taken from the bike racks on the south side of The Courtyards.
7005279|MISC - OTHER|5/21/2007 14:18|Cleared by Exception|:|Landscape Services|1340 North 17th St|0.00|0.00|Request for an officer to stand by during a meeting which was later deemed unnecessary.
7002153|ALCOHOL - CONSUMPTION IN PUBLIC|5/21/2007 22:22|Cleared by Arrest|between: 05/21/2007 22:22 and 05/21/2007 22:22||N 17TH ST & Q ST|0.00|0.00|Non student consuming alcohol in public.
7002156|LARCENY - STOLEN BIKE|5/22/2007 11:25|Inactive|between: 05/22/2007 09:00 and 05/22/2007 11:20|Coliseum|1350 Vine St|105.00|0.00|Bicycle stolen from the south side of the Coliseum.
7002158|ACCIDENTS - P.D. H&R NOT REPORTABLE|5/22/2007 12:34|Cleared by Arrest|between: 05/22/2007 12:27 and 05/22/2007 12:34||745 N. 14th St.|0.00|1000.00|UNL Student cited for leaving the scene of an accident.
7002166|TRESPASSING|5/23/2007 7:31|Inactive|Date: 05/23/2007 07:31|17 & R Parking Garage|300 North 17th St|0.00|0.00|Two transients contacted for sleeping in the parking garage.
7002168|VANDALISM - BY GRAFFITI|5/23/2007 9:41|Inactive|:|Canfield Administration Building|14th and R St.|0.00|0.00|Graffiti sprayed painted on UNL property.
7002169|ACCIDENTS - P.D. NOT REPORTABLE|5/23/2007 10:06|Cleared by Exception|Date: 05/23/2007 10:00|Biochemistry Hall|1705 North 38th St|0.00|200.00|Non-reportable accident.
7002173|LARCENY - FROM BUILDING|5/23/2007 21:33|Inactive|between: 05/23/2007 20:45 and 05/23/2007 20:50|Campus Recreation Center|841 North 14th St|53.00|0.00|Student working out at the Sapp Center left her items hidden under a mat, items were stolen.
7002175|NARCOTICS - POSSESSION|5/24/2007 0:22|Cleared by Arrest|Date: 05/24/2007 00:22||N 22ND ST & VINE ST|0.00|0.00|Traffic Stop.  Driver and passenger cited for Poss. of Marijuana &lt; 1 oz. (2.4g) and drug paraphernalia.  Both cited and released.  Passenger of vehicle a UNL Student.
7002182|DISTURBANCE - OTHER|5/24/2007 15:58|Inactive|between: 05/24/2007 11:45 and 05/24/2007 12:30||N 17TH ST & SOUTH ST|0.00|0.00|Comment was made about killing the victim in this case.
7002184|AUTO THEFT|5/24/2007 18:38|Inactive|between: 05/24/2007 15:15 and 05/24/2007 18:15|Andersen Hall|200 Centennial Mall North|10000.00|0.00|2005 Beige Ford Taurus. OOY556.
7002185|ALCOHOL - DRUNK|5/24/2007 21:33|Inactive|Date: 05/24/2007 21:33||N 17TH ST & Q ST|0.00|0.00|Disturbance at the U-Stop.  Intoxicated male taken into custody and transported to Detox where he was admitted.  (.273 BAC)
7002186|LITTERING|5/25/2007 0:54|Cleared by Arrest|Date: 05/25/2007 00:54|Andersen Hall||0.00|0.00|Male party contacted and cited/released for urinating in parking lot.
7002188|ALCOHOL - DWI|5/25/2007 1:18|Cleared by Arrest|Date: 05/25/2007 01:18||N 17TH ST & VINE ST|0.00|0.00|Driver was arrested for DWI and transported to LPD Headquarter where he tested .100 BAC.  Cited and released to a sober party at Detox.
7002193|LARCENY - FROM BUILDING|5/25/2007 9:40|Inactive|between: 05/24/2007 12:30 and 05/25/2007 09:30|Westbrook Music Building|1104 R St|1200.00|0.00|Overhead projector stolen from a classroom.
7002197|ACCIDENTS - P.D. NOT REPORTABLE|5/25/2007 18:22|Inactive|between: 04/14/2007 10:00 and 04/14/2007 12:00|Othmer Hall|820 North 16th St|0.00|800.00|Belated minor accident.
7002198|ALCOHOL - DRUNK|5/25/2007 20:36|Cleared by Exception|between: 05/25/2007 20:36 and 05/25/2007 20:36||121 S. 13th St.|0.00|0.00|Adult female found to be intoxicated and taken to Detox with a .223 BAC
7002200|NARCOTICS - POSSESSION|5/25/2007 21:57|Cleared by Arrest|Date: 05/25/2007 21:57||N 13TH ST & Q ST|0.00|0.00|Traffic Stop.  Driver found to be revoked and in possession of marijuana.  Cited for DUS/Poss of Marijuana &lt;1 oz. (3.1 g)and Drug Paraphernalia.  Lodged on warrant (DUI).
7002203|ALCOHOL - DWI|5/26/2007 1:25|Cleared by Arrest|Date: 05/26/2007 01:25||N 17TH ST & R ST|0.00|0.00|Traffic Stop.  Driver found to be under the influence.  Tested .146 BAC on the Intoxilyzer 5000.  Cited for DWI/Speeding (6-10 over) and admitted into Detox.
7002204|VANDALISM - OTHER|5/26/2007 2:55|Inactive|Date: 05/26/2007 02:55|515 N 19th Parking Lot Vine to|515 North 19th St.|0.00|300.00|Front passenger side door window to vehicle broken out.  Related case #07001116
7002209|LARCENY - FROM MOTOR VEHICLE|5/26/2007 15:13|Inactive|between: 05/26/2007 09:30 and 05/26/2007 10:30|Textron|900 North 21st St.|835.00|0.00|Items taken from within the car while parents were watching kids play soccer.
7002211|NARCOTICS - POSSESSION|5/26/2007 15:53|Cleared by Arrest|Date: 05/26/2007 15:53||N 17TH ST & VINE ST|0.00|0.00|Traffic stop (Click-it or Ticket Campaign) yielded marijuana and drug paraphernalia.
7002214|TRAFFIC - OTHER|5/26/2007 23:01|Cleared by Arrest|Date: 05/26/2007 23:01||SALT CREEK RDWY & MILITARY RD|0.00|0.00|Traffic Stop.  Driver was found to be in possession of an Open Container.  Cited and released.
7002215|UNL POLICY VIOLATION -OTHER|5/27/2007 3:07|Cleared by Exception|between: 05/27/2007 03:07 and 05/27/2007 03:29|Sigma Chi|1510 Vine St.|0.00|0.00|CSO's attempted to conduct a security check.  Parties inside refused entry by running upstairs.
7002218|MEDICAL EMERGENCY|5/27/2007 8:54|Inactive|Date: 05/27/2007 08:54|Whittier Building|2200 Vine St|0.00|0.00|Sprained ankle.
7002219|ALCOHOL - DRUNK|5/27/2007 9:10|Inactive|between: 05/27/2007 09:10 and 05/27/2007 09:10||1901 Y Street|0.00|0.00|Intoxicated female transient found sleeping in a semi-trailer. Taken to detox with a .173 BAC.
7002226|LARCENY - FROM MOTOR VEHICLE|5/28/2007 14:33|Inactive|:|515 N 19th Parking Lot Vine to|515 North 19th St.|455.00|0.00|Vehicle broken into and items taken, car parked in the lot 19th R-Vine.
7002228|LARCENY - STOLEN BIKE|5/28/2007 19:18|Cleared by Arrest|between: 05/25/2007 15:00 and 05/28/2007 19:00|Neihardt Residence Center|540 North 16th St|507.00|0.00|Bike taken from the bike rack by Neihardt Hall.
7002233|VANDALISM - OTHER|5/29/2007 11:37|Inactive|between: 05/25/2007 11:30 and 05/29/2007 06:30|Love Library South|1248 R|0.00|100.00|Two bushes outside of the library were damaged by what appeared to be a person on a bicycle.
7002235|TELEPHONE - THREATENING CALLS|5/29/2007 14:43|Inactive|between: 05/25/2007 15:00 and 05/25/2007 15:10|Selleck Quad|600 North 15th St|0.00|0.00|Party reporting threating phone calls.
7002236|SEX OFFENSE - INDECENT EXPOSURE|5/29/2007 15:19|Cleared by Arrest|Date: 05/29/2007 15:19|Behlen Physics Lab|500 Stadium Dr|0.00|0.00|Victim reports male party exposed himself to her in Behlen Hall.
7002237|LARCENY - STOLEN BIKE|5/29/2007 16:09|Inactive|between: 05/29/2007 06:30 and 05/29/2007 15:45|The Village|1055 North 16 St.|55.00|0.00|Bike taken from the bike rack north side of the Village.
7002240|LARCENY - FROM MOTOR VEHICLE|5/29/2007 19:07|Inactive|between: 05/29/2007 16:00 and 05/29/2007 19:00|Abel Hall|860 North 17th St|355.00|50.00|Vehicle broken into and items taken, Abel Sandoz lot.
7002242|LARCENY - FROM MOTOR VEHICLE|5/29/2007 20:13|Inactive|between: 05/29/2007 17:30 and 05/29/2007 20:00|Boat House|1000 North 16th St.|75.00|0.00|Staff member's vehicle entered and items stolen.
7002249|MEDICAL EMERGENCY|5/31/2007 9:38|Cleared by Exception|:||City of Lincoln|0.00|0.00|An employee was injuried while attending training
7002252|LARCENY - STOLEN BIKE|5/31/2007 14:29|Inactive|between: 05/28/2007 10:45 and 05/30/2007 14:30|Love Library South|1248 R|420.00|0.00|Black "Giant" bicycle.
7002258|TRAFFIC - SUSPENDED DRIVER|6/1/2007 13:07|Cleared by Arrest|between: 06/01/2007 13:07 and 06/01/2007 13:07||X ST & N 16TH ST|0.00|0.00|Driver arrested/lodged for DUS and also lodged in jail on two active warrants.
7002265|ALCOHOL - DWI|6/2/2007 1:10|Cleared by Arrest|Date: 06/02/2007 01:10||N 17TH ST & X ST|0.00|0.00|Traffic Stop.  Driver was found to be intoxicated.  Tested .138 BAC.  Cited for DWI/Driving Under Revocation/False Information to Officer/Speeding.  TOT sober friend.
7002269|ALCOHOL - DWI|6/2/2007 19:10|Cleared by Arrest|between: 06/02/2007 19:07 and 06/02/2007 19:55||N 23RD ST & VINE ST|0.00|0.00|Field Contact after officer observed vehicle being operated.  Driver was found to be intoxicated.  Tested .156 BAC.  TOT Detox.  Cited for DWI/No Proof Insurance/No Valid Reg/Fictitious Plates.
7002272|ALCOHOL - DRUNK|6/2/2007 19:31|Cleared by Exception|between: 06/02/2007 19:31 and 06/02/2007 19:31||27th and Vine St|0.00|0.00|Female was contacted and found to be intoxicated.  Taken into custody and transported to Detox where she tested .180 BAC.  TOT Detox.
7002271|TRESPASSING|6/2/2007 19:59|Cleared by Arrest|between: 06/02/2007 19:59 and 06/02/2007 19:59|Love Library North|1300 R|0.00|0.00|Party contacted in Love Library after hours.  Cited and released for Trespassing.
7002274|VANDALISM - OTHER|6/3/2007 0:34|Inactive|between: 05/31/2007 23:30 and 06/03/2007 00:34|Memorial Stadium|740 Stadium Dr.|0.00|300.00|Window broken on the third floor.
